$ cat 1cpu0io_cpubench1.txt
4: 241 KFLOPT
4: 238 KFLOPT
4: 237 KFLOPT
4: 236 KFLOPT
4: 236 KFLOPT
4: 235 KFLOPT
4: 239 KFLOPT
4: 238 KFLOPT
4: 237 KFLOPT
4: 238 KFLOPT
4: 238 KFLOPT
4: 238 KFLOPT
4: 236 KFLOPT
4: 239 KFLOPT
4: 241 KFLOPT
4: 239 KFLOPT
4: 238 KFLOPT
4: 238 KFLOPT
4: 238 KFLOPT
4: 240 KFLOPT
4: 238 KFLOPT
4: 239 KFLOPT
4: 241 KFLOPT
4: 241 KFLOPT
4: 241 KFLOPT
4: 238 KFLOPT
4: 239 KFLOPT
4: 241 KFLOPT
4: 240 KFLOPT
4: 237 KFLOPT
4: 239 KFLOPT
4: 239 KFLOPT
4: 240 KFLOPT
4: 236 KFLOPT
4: 239 KFLOPT
