$ cpubench
8: 680 MFLOPT
8: 655 MFLOPT
8: 699 MFLOPT
8: 706 MFLOPT
8: 699 MFLOPT
8: 691 MFLOPT
8: 684 MFLOPT
8: 680 MFLOPT
8: 687 MFLOPT
8: 684 MFLOPT
8: 687 MFLOPT
8: 691 MFLOPT
8: 701 MFLOPT
8: 696 MFLOPT
8: 691 MFLOPT
8: 696 MFLOPT
8: 694 MFLOPT
8: 684 MFLOPT
8: 694 MFLOPT
8: 701 MFLOPT
8: 684 MFLOPT
8: 691 MFLOPT
8: 696 MFLOPT
8: 696 MFLOPT
8: 699 MFLOPT
8: 701 MFLOPT
8: 699 MFLOPT
8: 689 MFLOPT
8: 682 MFLOPT
8: 680 MFLOPT
8: 684 MFLOPT
8: 687 MFLOPT
8: 682 MFLOPT
8: 682 MFLOPT
8: 694 MFLOPT
8: 691 MFLOPT
8: 691 MFLOPT
8: 694 MFLOPT
8: 689 MFLOPT
8: 689 MFLOPT
8: 696 MFLOPT
8: 691 MFLOPT
8: 694 MFLOPT
